Img_Label,Val
02-25 15.17.37.jpg_Height,126
05-20 11.54.07.jpg_Top,0
05-20 11.54.07.jpg_Left,40
05-20 11.54.07.jpg_Width,114
05-20 11.54.07.jpg_Height,126
03-10 03.16.32.jpg_Top,60
03-10 03.16.32.jpg_Left,860
03-10 03.16.32.jpg_Width,114
03-10 03.16.32.jpg_Height,126
08-25 14.02.52.jpg_Top,0
08-25 14.02.52.jpg_Left,980
08-25 14.02.52.jpg_Width,114
08-25 14.02.52.jpg_Height,126
03-09 05.03.00.jpg_Top,560
03-09 05.03.00.jpg_Left,220
03-09 05.03.00.jpg_Width,114
03-09 05.03.00.jpg_Height,126
03-17 12.27.32.jpg_Top,460
03-17 12.27.32.jpg_Left,920
03-17 12.27.32.jpg_Width,114
03-17 12.27.32.jpg_Height,126
08-23 15.53.37.jpg_Top,200
08-23 15.53.37.jpg_Left,920
08-23 15.53.37.jpg_Width,114
08-23 15.53.37.jpg_Height,126
03-17 12.30.12.jpg_Top,40
03-17 12.30.12.jpg_Left,800
03-17 12.30.12.jpg_Width,114
03-17 12.30.12.jpg_Height,126
04-04 12.39.12.jpg_Top,20
04-04 12.39.12.jpg_Left,140
04-04 12.39.12.jpg_Width,228
04-04 12.39.12.jpg_Height,252
06-07 14.16.26.jpg_Top,820
06-07 14.16.26.jpg_Left,1060
06-07 14.16.26.jpg_Width,114
06-07 14.16.26.jpg_Height,126
05-20 13.04.22.jpg_Top,780
05-20 13.04.22.jpg_Left,400
05-20 13.04.22.jpg_Width,114
05-20 13.04.22.jpg_Height,126
01-22 11.33.13.jpg_Top,0
01-22 11.33.13.jpg_Left,0
01-22 11.33.13.jpg_Width,114
01-22 11.33.13.jpg_Height,126
01-29 11.18.42.jpg_Top,580
01-29 11.18.42.jpg_Left,200
01-29 11.18.42.jpg_Width,114
01-29 11.18.42.jpg_Height,126
08-22 11.46.25.jpg_Top,140
08-22 11.46.25.jpg_Left,1120
08-22 11.46.25.jpg_Width,114
08-22 11.46.25.jpg_Height,126
02-20 09.51.05.jpg_Top,140
02-20 09.51.05.jpg_Left,320
02-20 09.51.05.jpg_Width,228
02-20 09.51.05.jpg_Height,252
02-20 10.00.38.jpg_Top,40
02-20 10.00.38.jpg_Left,160
02-20 10.00.38.jpg_Width,456
02-20 10.00.38.jpg_Height,504
03-06 03.53.39.jpg_Top,40
03-06 03.53.39.jpg_Left,0
03-06 03.53.39.jpg_Width,456
03-06 03.53.39.jpg_Height,504
01-18 12.43.47.jpg_Top,100
01-18 12.43.47.jpg_Left,140
01-18 12.43.47.jpg_Width,114
01-18 12.43.47.jpg_Height,126
01-22 03.25.51.jpg_Top,560
01-22 03.25.51.jpg_Left,740
01-22 03.25.51.jpg_Width,114
01-22 03.25.51.jpg_Height,126
04-04 12.25.09.jpg_Top,80
04-04 12.25.09.jpg_Left,560
04-04 12.25.09.jpg_Width,114
04-04 12.25.09.jpg_Height,126
04-17 01.46.06.jpg_Top,360
04-17 01.46.06.jpg_Left,980
04-17 01.46.06.jpg_Width,114
04-17 01.46.06.jpg_Height,126
03-29 14.59.18.jpg_Top,800
03-29 14.59.18.jpg_Left,540
03-29 14.59.18.jpg_Width,114
03-29 14.59.18.jpg_Height,126
05-19 18.08.45.jpg_Top,940
05-19 18.08.45.jpg_Left,1220
05-19 18.08.45.jpg_Width,114
05-19 18.08.45.jpg_Height,126
08-26 17.53.37.jpg_Top,20
08-26 17.53.37.jpg_Left,620
08-26 17.53.37.jpg_Width,114
08-26 17.53.37.jpg_Height,126
05-12 12.08.40.jpg_Top,780
05-12 12.08.40.jpg_Left,1040
05-12 12.08.40.jpg_Width,114
05-12 12.08.40.jpg_Height,126
03-17 12.06.45.jpg_Top,160
03-17 12.06.45.jpg_Left,180
03-17 12.06.45.jpg_Width,228
03-17 12.06.45.jpg_Height,252
02-25 14.24.43.jpg_Top,100
02-25 14.24.43.jpg_Left,500
02-25 14.24.43.jpg_Width,228
02-25 14.24.43.jpg_Height,252
05-02 12.28.36.jpg_Top,360
05-02 12.28.36.jpg_Left,460
05-02 12.28.36.jpg_Width,228
05-02 12.28.36.jpg_Height,252
06-11 14.07.34.jpg_Top,820
06-11 14.07.34.jpg_Left,900
06-11 14.07.34.jpg_Width,114
06-11 14.07.34.jpg_Height,126
02-20 02.58.50.jpg_Top,140
02-20 02.58.50.jpg_Left,540
02-20 02.58.50.jpg_Width,114
02-20 02.58.50.jpg_Height,126
05-20 11.25.24.jpg_Top,40
05-20 11.25.24.jpg_Left,820
05-20 11.25.24.jpg_Width,228
05-20 11.25.24.jpg_Height,252
01-22 10.32.16.jpg_Top,380
01-22 10.32.16.jpg_Left,580
01-22 10.32.16.jpg_Width,114
01-22 10.32.16.jpg_Height,126
03-04 05.40.31.jpg_Top,200
03-04 05.40.31.jpg_Left,60
03-04 05.40.31.jpg_Width,228
03-04 05.40.31.jpg_Height,252
08-12 09.49.38.jpg_Top,100
08-12 09.49.38.jpg_Left,480
08-12 09.49.38.jpg_Width,228
08-12 09.49.38.jpg_Height,252
02-25 13.32.19.jpg_Top,940
02-25 13.32.19.jpg_Left,820
02-25 13.32.19.jpg_Width,114
02-25 13.32.19.jpg_Height,126
03-15 04.05.49.jpg_Top,560
03-15 04.05.49.jpg_Left,520
03-15 04.05.49.jpg_Width,114
03-15 04.05.49.jpg_Height,126
01-29 02.50.53.jpg_Top,140
01-29 02.50.53.jpg_Left,300
01-29 02.50.53.jpg_Width,228
01-29 02.50.53.jpg_Height,252
01-07 12.56.08.jpg_Top,100
01-07 12.56.08.jpg_Left,220
01-07 12.56.08.jpg_Width,114
01-07 12.56.08.jpg_Height,126
08-08 17.07.48.jpg_Top,560
08-08 17.07.48.jpg_Left,1100
08-08 17.07.48.jpg_Width,114
08-08 17.07.48.jpg_Height,126
01-20 01.32.29.jpg_Top,400
01-20 01.32.29.jpg_Left,640
01-20 01.32.29.jpg_Width,114
01-20 01.32.29.jpg_Height,126
01-05 10.17.13.jpg_Top,0
01-05 10.17.13.jpg_Left,20
01-05 10.17.13.jpg_Width,228
01-05 10.17.13.jpg_Height,252
08-10 18.26.21.jpg_Top,380
08-10 18.26.21.jpg_Left,680
08-10 18.26.21.jpg_Width,114
08-10 18.26.21.jpg_Height,126
03-06 01.26.48.jpg_Top,160
03-06 01.26.48.jpg_Left,760
03-06 01.26.48.jpg_Width,114
03-06 01.26.48.jpg_Height,126
08-29 18.04.49.jpg_Top,440
08-29 18.04.49.jpg_Left,800
08-29 18.04.49.jpg_Width,114
08-29 18.04.49.jpg_Height,126
03-15 03.36.02.jpg_Top,120
03-15 03.36.02.jpg_Left,900
03-15 03.36.02.jpg_Width,114
03-15 03.36.02.jpg_Height,126
03-04 11.24.23.jpg_Top,20
03-04 11.24.23.jpg_Left,880
03-04 11.24.23.jpg_Width,114
03-04 11.24.23.jpg_Height,126
04-24 12.56.39.jpg_Top,0
04-24 12.56.39.jpg_Left,180
04-24 12.56.39.jpg_Width,114
04-24 12.56.39.jpg_Height,126
03-02 05.33.26.jpg_Top,140
03-02 05.33.26.jpg_Left,480
03-02 05.33.26.jpg_Width,228
03-02 05.33.26.jpg_Height,252
08-12 09.27.24.jpg_Top,160
08-12 09.27.24.jpg_Left,600
08-12 09.27.24.jpg_Width,114
08-12 09.27.24.jpg_Height,126
01-20 01.06.34.jpg_Top,580
01-20 01.06.34.jpg_Left,740
01-20 01.06.34.jpg_Width,114
01-20 01.06.34.jpg_Height,126
02-25 13.28.14.jpg_Top,60
02-25 13.28.14.jpg_Left,1460
02-25 13.28.14.jpg_Width,114
02-25 13.28.14.jpg_Height,126
01-22 04.37.49.jpg_Top,520
01-22 04.37.49.jpg_Left,960
01-22 04.37.49.jpg_Width,114
01-22 04.37.49.jpg_Height,126
03-07 02.32.39.jpg_Top,220
03-07 02.32.39.jpg_Left,360
03-07 02.32.39.jpg_Width,114
03-07 02.32.39.jpg_Height,126
05-19 15.49.29.jpg_Top,60
05-19 15.49.29.jpg_Left,1040
05-19 15.49.29.jpg_Width,114
05-19 15.49.29.jpg_Height,126
01-21 04.22.50.jpg_Top,540
01-21 04.22.50.jpg_Left,380
01-21 04.22.50.jpg_Width,114
01-21 04.22.50.jpg_Height,126
02-19 01.39.03.jpg_Top,480
02-19 01.39.03.jpg_Left,360
02-19 01.39.03.jpg_Width,114
02-19 01.39.03.jpg_Height,126
05-12 12.10.06.jpg_Top,840
05-12 12.10.06.jpg_Left,60
05-12 12.10.06.jpg_Width,114
05-12 12.10.06.jpg_Height,126
01-25 08.51.48.jpg_Top,200
01-25 08.51.48.jpg_Left,500
01-25 08.51.48.jpg_Width,114
01-25 08.51.48.jpg_Height,126
02-19 01.38.35.jpg_Top,140
02-19 01.38.35.jpg_Left,300
02-19 01.38.35.jpg_Width,228
02-19 01.38.35.jpg_Height,252
01-09 01.37.10.jpg_Top,180
01-09 01.37.10.jpg_Left,480
01-09 01.37.10.jpg_Width,228
01-09 01.37.10.jpg_Height,252
06-08 10.34.47.jpg_Top,100
06-08 10.34.47.jpg_Left,720
06-08 10.34.47.jpg_Width,114
06-08 10.34.47.jpg_Height,126
05-01 14.04.02.jpg_Top,100
05-01 14.04.02.jpg_Left,1000
05-01 14.04.02.jpg_Width,114
05-01 14.04.02.jpg_Height,126
02-25 14.21.14.jpg_Top,0
02-25 14.21.14.jpg_Left,260
02-25 14.21.14.jpg_Width,456
02-25 14.21.14.jpg_Height,504
02-25 16.10.28.jpg_Top,20
02-25 16.10.28.jpg_Left,560
02-25 16.10.28.jpg_Width,228
02-25 16.10.28.jpg_Height,252
03-10 03.20.12.jpg_Top,20
03-10 03.20.12.jpg_Left,1160
03-10 03.20.12.jpg_Width,114
03-10 03.20.12.jpg_Height,126
01-30 03.23.51.jpg_Top,0
01-30 03.23.51.jpg_Left,240
01-30 03.23.51.jpg_Width,114
01-30 03.23.51.jpg_Height,126
03-17 04.09.46.jpg_Top,120
03-17 04.09.46.jpg_Left,520
03-17 04.09.46.jpg_Width,228
03-17 04.09.46.jpg_Height,252
08-22 11.07.40.jpg_Top,80
08-22 11.07.40.jpg_Left,500
08-22 11.07.40.jpg_Width,228
08-22 11.07.40.jpg_Height,252
01-22 10.59.21.jpg_Top,100
01-22 10.59.21.jpg_Left,960
01-22 10.59.21.jpg_Width,114
01-22 10.59.21.jpg_Height,126
01-20 01.05.58.jpg_Top,580
01-20 01.05.58.jpg_Left,800
01-20 01.05.58.jpg_Width,114
01-20 01.05.58.jpg_Height,126
05-09 09.23.54.jpg_Top,160
05-09 09.23.54.jpg_Left,960
05-09 09.23.54.jpg_Width,114
05-09 09.23.54.jpg_Height,126
01-29 12.09.50.jpg_Top,80
01-29 12.09.50.jpg_Left,460
01-29 12.09.50.jpg_Width,228
01-29 12.09.50.jpg_Height,252
03-17 12.38.31.jpg_Top,560
03-17 12.38.31.jpg_Left,700
03-17 12.38.31.jpg_Width,114
03-17 12.38.31.jpg_Height,126
03-03 11.41.09.jpg_Top,20
03-03 11.41.09.jpg_Left,400
03-03 11.41.09.jpg_Width,228
03-03 11.41.09.jpg_Height,252
02-24 02.29.25.jpg_Top,20
02-24 02.29.25.jpg_Left,500
02-24 02.29.25.jpg_Width,228
02-24 02.29.25.jpg_Height,252
01-12 11.53.49.jpg_Top,120
01-12 11.53.49.jpg_Left,700
01-12 11.53.49.jpg_Width,114
01-12 11.53.49.jpg_Height,126
06-08 13.23.50.jpg_Top,860
06-08 13.23.50.jpg_Left,1560
06-08 13.23.50.jpg_Width,114
06-08 13.23.50.jpg_Height,126
02-25 13.28.44.jpg_Top,760
02-25 13.28.44.jpg_Left,1240
02-25 13.28.44.jpg_Width,114
02-25 13.28.44.jpg_Height,126
01-16 04.07.18.jpg_Top,120
01-16 04.07.18.jpg_Left,960
01-16 04.07.18.jpg_Width,114
01-16 04.07.18.jpg_Height,126
01-22 05.25.41.jpg_Top,140
01-22 05.25.41.jpg_Left,400
01-22 05.25.41.jpg_Width,228
01-22 05.25.41.jpg_Height,252
01-22 12.17.24.jpg_Top,180
01-22 12.17.24.jpg_Left,0
01-22 12.17.24.jpg_Width,228
01-22 12.17.24.jpg_Height,252
02-25 13.28.11.jpg_Top,80
02-25 13.28.11.jpg_Left,200
02-25 13.28.11.jpg_Width,456
02-25 13.28.11.jpg_Height,504
08-13 16.10.39.jpg_Top,400
08-13 16.10.39.jpg_Left,80
08-13 16.10.39.jpg_Width,114
08-13 16.10.39.jpg_Height,126
05-28 10.45.46.jpg_Top,20
05-28 10.45.46.jpg_Left,360
05-28 10.45.46.jpg_Width,456
05-28 10.45.46.jpg_Height,504
03-10 01.33.38.jpg_Top,500
03-10 01.33.38.jpg_Left,480
03-10 01.33.38.jpg_Width,114
03-10 01.33.38.jpg_Height,126
08-13 16.27.30.jpg_Top,400
08-13 16.27.30.jpg_Left,0
08-13 16.27.30.jpg_Width,114
08-13 16.27.30.jpg_Height,126
02-20 10.00.50.jpg_Top,40
02-20 10.00.50.jpg_Left,60
02-20 10.00.50.jpg_Width,456
02-20 10.00.50.jpg_Height,504
06-04 16.36.08.jpg_Top,400
06-04 16.36.08.jpg_Left,1160
06-04 16.36.08.jpg_Width,114
06-04 16.36.08.jpg_Height,126
